Reference,Quantity,Value,Footprint,Manufacturer,MPN,Layer,
C1 C9 C10,3,C_4u7_0402,C_0402_1005Metric,Murata,GRM155R61A475MEAAD,Top,
C14 C16,2,C_16p_0402,C_0402_1005Metric,Walsin,0402N160J500CT,Top,
C2 C3 C5 C6 C8 C12 C13 C15 C17 C18 C19 C22 C25 C26 C27 C28,16,C_100n_0402,C_0402_1005Metric,Murata,GRM155R61H104KE14D,Top,
C21 C23,2,C_10p_0402,C_0402_1005Metric,Murata,GCM1555C1H100GA16D,Top,
C4 C7 C11 C20 C24,5,C_2u2_0402,C_0402_1005Metric,TDK,C1005X5R1A225K050BC,Top,
D1 D2 D3 D4 D7 D9,6,ESD9X5.0ST5G,SOD-923,ON Semiconductor,ESD9X5.0ST5G,Top,
D5 D6 D8,3,TPD2E009_SOT-9X3,SOT-723,Texas Instruments,TPD2E009DRTR,Top,
FB1 FB2 FB3,3,FB_120Z_2A_0603,FB_0603_1608Metric,Murata,BLM18PG121SN1D,Top,
J1,1,USB-C_USB4105-GF-A,USB-C_GCT_USB4105-GF-A,GCT,USB4105-GF-A,Top,
J2,1,SM04B-SRSS-TB-LF-SN,SM04B-SRSS-TB-LF-SN,JST,SM04B-SRSS-TB(LF)(SN),Top,
LD1 LD2,2,LED_G_0603_KP-1608ZGC,LED_0603_1608Metric_G,Kingbright,KP-1608ZGC,Top,
MP1 MP2 MP3,3,PCB_Mount_Hole_2.7mm_M2.5_pad,mounting-hole-2.7mm-M2.5-Pad,,,Top,
R12 R17,2,R_470R_0402,R_0402_1005Metric,Bourns,CR0402-FX-4700GLF,Top,
R19 R24 R29 R30 R31 R32 R33 R34 R35 R36,10,R_100k_0402,R_0402_1005Metric,Bourns,CR0402-FX-1003GLF,Top,
R2 R26,2,R_1k_0402,R_0402_1005Metric,Bourns,CR0402-FX-1001GLF,Top,
R27 R28,2,R_100R_0402,R_0402_1005Metric,Bourns,CR0402-FX-1000GLF,Top,
R3 R4 R37 R38,4,R_5k1_0402,R_0402_1005Metric,Bourns,CR0402-FX-5101GLF,Top,
R5 R6 R7 R8 R9 R10 R13 R14 R20,9,R_0R_0402,R_0402_1005Metric,Panasonic,ERJ2GE0R00X,Top,
TP1 TP2 TP3 TP4 TP5 TP6,6,TP_1.5mm_SMD,TP_SMD_1.5mm,,,Top,
TP7 TP8 TP9 TP10 TP11 TP12,6,TP_1mm_SMD,Testpoint_smd_1mm,,,Top,
U1,1,FT232R_QFN,QFN-32-1EP_5x5mm,FTDI,FT232RQ-REEL,Top,
U2,1,AP7370-33SA-7,SOT-23-3,Diodes Incorporated,AP7370-33SA-7,Top,
U4,1,MB85RC1MTPNF-G,SOP-8_3.9x5.05mm_P1.27mm,Fujitsu Semiconductor,MB85RC1MTPNF-G-JNERE1,Top,
U5,1,SHT45,Sensirion_DFN-4-1.5x1.5x0.5mm_P0.8mm,Sensirion,SHT45-AD1B-R2,Top,
U6,1,BME280,Pressure_Sensor_LGA-8_2.5x2.5mm_BME280,Bosch Sensortec,BME280,Top,
Y1,1,ECS-_327-12_5-34B-TR,SMD-2_3.2x1.5mm,ECS Inc.,ECS-.327-12.5-34B-TR,Top,
Y2,1,ABM3B-8.000MHZ-10-1-U-T,ABM3B,Abracon,ABM3B-8.000MHZ-10-1-U-T,Top,
BAT1,1,BAT-HLD-012-SMT-TR,BAT_BAT-HLD-012-SMT-TR,Linx,BAT-HLD-012-SMT-TR,Bottom,
J3,1,SM04B-SRSS-TB-LF-SN,SM04B-SRSS-TB-LF-SN,JST,SM04B-SRSS-TB(LF)(SN),Bottom,
R1 R18 R25,3,R_1M_0402,R_0402_1005Metric,Bourns,CR0402-FX-1004GLF,DNP,
R11 R15 R16,3,R_0R_0402,R_0402_1005Metric,Panasonic,ERJ2GE0R00X,DNP,
R21 R22 R23,3,R_100R_0402,R_0402_1005Metric,Bourns,CR0402-FX-1000GLF,DNP,
#FLG01 #FLG02 #FLG03,3,PWR_FLAG,,,,Unknown,
#PWR01 #PWR033,2,GNDREF,,,,Unknown,
#PWR02 #PWR06 #PWR019,3,+5V,,,,Unknown,
#PWR025 #PWR030 #PWR034 #PWR036 #PWR044 #PWR047 #PWR049 #PWR054 #PWR056 #PWR059 #PWR061 #PWR064 #PWR066 #PWR068 #PWR072 #PWR073 #PWR077,17,+3V3,,,,Unknown,
#PWR03 #PWR04 #PWR05 #PWR07 #PWR08 #PWR09 #PWR010 #PWR011 #PWR012 #PWR013 #PWR014 #PWR015 #PWR016 #PWR017 #PWR018 #PWR020 #PWR021 #PWR022 #PWR023 #PWR024 #PWR026 #PWR027 #PWR028 #PWR029 #PWR031 #PWR032 #PWR035 #PWR037 #PWR038 #PWR039 #PWR040 #PWR041 #PWR042 #PWR043 #PWR045 #PWR046 #PWR048 #PWR050 #PWR051 #PWR052 #PWR053 #PWR055 #PWR057 #PWR058 #PWR060 #PWR062 #PWR063 #PWR065 #PWR067 #PWR069 #PWR070 #PWR071 #PWR074 #PWR075 #PWR076 #PWR078,56,GND,,,,Unknown,
U3,1,STM32G474CET6,LQFP-48_B7x7mm_P0.5mm_0.20mmPadPadClearance_Pad0.30x1.20mm,STMicroelectronics,STM32G474CET6,Unknown,
